response	0.157134840264	[0.3333333333333333, 0.3333333333333333, 0.6666666666666666]
raining	0.25	[1.0, 0.5]
kidney	0.0	[0.25, 0.25, 0.25, 0.25]
compromised	0.0	[1.0]
written	0.149587911309	[0.16666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.5]
introduced	0.25	[0.5, 1.0]
rope	0.0	[1.0]
flushed	0.0	[1.0]
citizen	0.0	[1.0]
perfectly	0.25	[0.6666666666666666, 0.16666666666666666, 0.8333333333333334, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333]
provided	0.0	[1.0]
reject	1.0	[0.5, 2.5]
maid	0.272165526976	[0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.8333333333333334, 1.1666666666666667]
blond	0.0	[0.25, 0.25, 0.25, 0.25]
feeing	0.0	[1.0]
porn	0.74328267557	[0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 1.8333333333333333, 2.0, 0.16666666666666666]
chef	0.691661088777	[2.3333333333333335, 1.1666666666666667, 0.8333333333333334, 0.6666666666666666, 0.5, 0.16666666666666666]
concentrate	0.0	[0.5, 0.5]
microscope	0.0	[1.0]
gnight	0.0	[1.0]
network	0.0	[0.5, 0.5]
producer	0.0	[2.0]
tender	0.0	[0.5, 0.5]
chimney	0.0	[2.0]
picturing	0.0	[1.0]
daytona	0.0	[1.0]
remaining	0.0	[1.0]
playground	0.0	[0.5, 0.5]
stockings	0.0	[3.0]
fossils	1.5	[0.5, 3.5]
lord	0.0	[0.5, 0.5]
nonchalant	0.0	[2.0]
barry	2.06439307061	[0.75, 0.5, 0.25, 5.25]
lottery	0.0	[1.0]
gathering	0.0	[1.0]
proceed	0.0	[1.0]
attacked	0.0	[1.0]
souvenirs	0.0	[2.0]
geometry	0.0	[1.0]
aruba	0.25	[0.5, 1.0]
weak	0.5	[1.5, 0.5]
skinny	0.0	[2.0]
hanging	0.288675134595	[0.8333333333333334, 0.8333333333333334, 0.3333333333333333, 1.1666666666666667, 1.1666666666666667, 0.6666666666666666]
hung	0.348711915483	[0.8, 0.2, 0.2, 0.2, 1.0]
shirt	0.329842835751	[0.3333333333333333, 0.6666666666666666, 1.3333333333333333, 1.0, 0.5, 0.6666666666666666]
midgets	0.0	[2.0]
cranial	0.0	[1.0]
property	0.0	[1.0]
smug	0.0	[1.0]
lovin	0.25	[1.0, 0.5]
deny	0.0	[0.5, 0.5]
yeahnot	0.0	[1.0]
flavours	0.0	[1.0]
choke	0.0	[1.0]
beliefs	0.0	[2.0]
congress	0.0	[1.0]
heardo	0.0	[1.0]
live	0.47790695928	[3.5, 3.0, 4.333333333333333, 4.166666666666667, 3.3333333333333335, 3.3333333333333335]
yo	0.157134840264	[0.3333333333333333, 0.3333333333333333, 0.6666666666666666]
kings	0.314269680527	[1.0, 0.3333333333333333, 0.3333333333333333]
bloomers	0.0	[1.0]
sohardto	0.0	[1.0]
laughin	0.0	[1.0]
porch	0.25	[1.0, 0.5]
dismissed	0.0	[1.0]
trisholy	0.0	[1.0]
creepy	0.195959179423	[0.6, 0.6, 0.2, 0.2, 0.2]
deliver	0.157134840264	[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]
kiddin	0.5	[0.5, 1.5]
deep	0.184256932798	[0.5, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666]
mastodon	0.0	[0.5, 0.5]
hah	0.157134840264	[1.0, 0.6666666666666666, 1.0]
lone	0.0	[2.0]
votes	0.0	[1.0]
