1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1,9,11,11.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,1,1,2,9,10,10.0,3,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,1,0.0,4,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0
0.0,3,0.0,2,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,2,0.0,0.0,7,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,1,0.0,0.0,2,0.0,1,0.0,2,3,1,0.0,0.0,0.0,0.0,0.0,3,9,11,11.0,0.0,0.0,0.0,1,2,0.0,0.0,1,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1,0.0,0.0,7,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,3,0.0,2,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1,2,0.0,1,0.0,5,0.0,0.0,1,1,3,0.0,14,1,2,0.0,2,0.0,0.0,3,3,30,34,11.333333333333334,5,1,4,0.0,5,1,0.0,4,0.0,1,0.0,5,8,0.0,0.0,0.0,0.0,0.0,2,3,1,0.0
2,0.0,1,2,0.0,0.0,1,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,3,0.0,3,0.0,0.0,0.0,0.0,2,0.0,2,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,3,4,1,0.0,0.0,0.0,0.0,0.0,3,14,18,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0
0.0,1,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,5,0.0,0.0,0.0,0.0,2,0.0,2,10,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,5,1,0.0,2,0.0,1,0.0,1,0.0,0.0
1,1,4,2,0.0,0.0,2,0.0,2,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,2,4,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,1,1,2,0.0,0.0,1,0.0,2,3,18,19,19.0,0.0,0.0,2,0.0,0.0,1,0.0,1,0.0,0.0,0.0,3,11,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0
0.0,4,0.0,6,0.0,0.0,1,1,4,0.0,0.0,1,0.0,0.0,3,6,1,0.0,0.0,28,2,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2,0.0,0.0,1,0.0,3,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,2,0.0,3,0.0,2,9,3,0.0,2,0.0,2,1,6,28,30,10.0,0.0,0.0,0.0,4,4,0.0,1,4,0.0,0.0,2,3,19,4,0.0,2,0.0,0.0,0.0,3,0.0,0.0
1,0.0,1,2,0.0,0.0,1,0.0,1,3,1,0.0,0.0,0.0,0.0,4,1,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,2,0.0,1,0.0,0.0,0.0,0.0,2,0.0,1,1,1,0.0,0.0,8,0.0,0.0,0.0,1,2,0.0,3,0.0,7,0.0,0.0,0.0,0.0,0.0,2,20,20,10.0,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,1,3,8,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0
