0.0,1,2,5,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,2,0.0,0.0,4,0.0,0.0,1,0.0,0.0,1,0.0,1,4,3,0.0,1,0.0,0.0,1,2,10,11,11.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0
1,3,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,2,9,10,10.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0.0,1,3,0.0,0.0,0.0,2,0.0,0.0
3,0.0,1,3,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,1,1,0.0,0.0,0.0,1,1,0.0,1,0.0,2,1,0.0,0.0,1,0.0,0.0,0.0,4,10,11,11.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2,11,12,12.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0
0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,9,1,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,4,0.0,0.0,1,0.0,0.0,1,2,8,8,8.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,2,4,1,0.0,3,0.0,1,0.0,0.0,0.0,0.0
1,3,1,5,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,17,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4,1,1,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,2,3,1,0.0,3,0.0,0.0,0.0,5,16,18,18.0,0.0,0.0,2,0.0,6,2,1,0.0,0.0,0.0,0.0,3,10,2,1,0.0,0.0,1,0.0,2,0.0,0.0
1,0.0,2,12,0.0,0.0,4,2,1,5,0.0,0.0,0.0,0.0,10,3,1,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,3,2,1,0.0,3,0.0,0.0,0.0,1,0.0,2,0.0,2,4,0.0,0.0,4,0.0,0.0,3,4,26,37,18.5,0.0,0.0,0.0,1,7,0.0,2,1,0.0,0.0,0.0,2,13,5,1,0.0,0.0,3,0.0,3,0.0,0.0
0.0,0.0,0.0,3,0.0,0.0,2,1,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1,10,11,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,1,0.0,1,0.0,0.0
3,5,0.0,6,0.0,0.0,4,0.0,1,2,0.0,0.0,0.0,0.0,3,3,2,0.0,0.0,31,0.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0,2,0.0,3,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,10,2,2,0.0,0.0,0.0,0.0,0.0,4,32,36,12.0,2,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,2,20,4,1,0.0,0.0,1,1,6,0.0,0.0
4,1,1,8,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,1,1,1,0.0,2,1,0.0,0.0,0.0,1,0.0,4,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,5,17,23,5.75,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,2,9,2,1,0.0,0.0,1,0.0,2,0.0,0.0
