1,3,0.0,3,0.0,0.0,0.0,1,0.0,5,0.0,0.0,0.0,0.0,1,7,4,0.0,0.0,31,0.0,2,0.0,0.0,0.0,0.0,1,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,3,1,0.0,5,0.0,0.0,2,0.0,2,10,1,0.0,1,0.0,0.0,1,7,26,32,16.0,0.0,0.0,1,1,2,0.0,1,3,0.0,2,3,3,22,1,0.0,3,0.0,1,2
7,7,6,11,0.0,0.0,1,5,0.0,5,1,0.0,0.0,2,3,10,6,2,0.0,64,0.0,1,1,0.0,0.0,1,5,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,3,1,0.0,6,0.0,2,6,3,3,1,0.0,16,1,0.0,0.0,1,0.0,5,0.0,9,2,6,3,0.0,0.0,0.0,9,13,51,73,14.6,0.0,0.0,6,2,5,3,3,4,0.0,1,7,1,42,5,3,0.0,0.0,2,1
1,0.0,1,2,0.0,0.0,0.0,1,0.0,3,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,8,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,11,11,11.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1,1,1,6,1,0.0,0.0,1,0.0,0.0
1,3,3,7,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,2,2,0.0,0.0,0.0,18,0.0,2,2,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,5,0.0,0.0,7,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,4,0.0,1,5,0.0,0.0,0.0,0.0,2,0.0,8,15,19,4.75,0.0,0.0,1,2,1,0.0,1,2,0.0,0.0,0.0,3,14,1,0.0,3,0.0,1,0.0
6,1,1,20,0.0,0.0,1,12,0.0,14,12,11,0.0,5,10,19,6,3,0.0,85,5,5,2,0.0,1,0.0,12,0.0,1,4,0.0,0.0,0.0,0.0,3,0.0,3,0.0,0.0,0.0,1,0.0,4,17,1,1,2,0.0,5,0.0,0.0,5,0.0,0.0,6,0.0,3,15,0.0,0.0,4,0.0,0.0,5,23,42,78,13.0,0.0,0.0,0.0,0.0,13,0.0,5,1,0.0,2,3,17,54,4,2,2,1,0.0,0.0
1,4,1,3,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,1,4,0.0,0.0,0.0,12,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,1,2,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,2,0.0,0.0,1,1,0.0,1,0.0,0.0,0.0,3,13,13,6.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,3,8,1,0.0,1,0.0,1,0.0
1,5,2,7,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,3,6,0.0,0.0,0.0,17,1,4,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,0.0,2,0.0,1,4,2,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,1,2,0.0,0.0,3,0.0,0.0,2,5,12,17,5.666666666666667,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1,5,11,2,0.0,0.0,0.0,2,0.0
0.0,2,1,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,2,3,1,0.0,0.0,16,0.0,1,3,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,3,3,1,0.0,2,0.0,0.0,0.0,2,15,15,15.0,0.0,0.0,0.0,3,3,0.0,0.0,3,0.0,0.0,2,1,10,2,0.0,0.0,1,1,0.0
0.0,4,2,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,5,1,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,2,2,13,13,13.0,0.0,0.0,0.0,0.0,3,0.0,2,0.0,0.0,3,0.0,4,8,2,0.0,0.0,1,1,0.0
7,10,4,11,0.0,0.0,0.0,1,0.0,6,1,0.0,1,1,5,10,3,1,0.0,50,0.0,0.0,0.0,0.0,2,0.0,7,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,2,3,0.0,0.0,15,0.0,1,10,1,1,0.0,0.0,6,0.0,2,3,0.0,0.0,1,0.0,2,6,2,0.0,3,0.0,0.0,4,17,39,49,49.0,0.0,0.0,2,2,11,0.0,4,2,0.0,0.0,1,8,37,2,1,0.0,0.0,0.0,0.0
