(1075, 'Chandler', 0.0011358894444739851)
(1218, 'Joey', 0.0011358894444739851)
(1890, 'Joey', 0.0032517905243846538)
(2134, 'Chandler', 0.010943772692013416)
(2263, 'Rachel', 0.010943772692013416)
(2769, 'Rachel', 0.010943772692013416)
(68, 'Joey', 0.017278218218793603)
(137, 'Rachel', 0.017278218218793603)
(213, 'Joey', 0.017278218218793603)
(378, 'Joey', 0.017278218218793603)
(400, 'Chandler', 0.017278218218793603)
(436, 'Chandler', 0.017278218218793603)
(532, 'Joey', 0.017278218218793603)
(564, 'Rachel', 0.017278218218793603)
(574, 'Chandler', 0.017278218218793603)
(678, 'Rachel', 0.017278218218793603)
(718, 'Chandler', 0.017278218218793603)
(752, 'Rachel', 0.017278218218793603)
(1158, 'Rachel', 0.017278218218793603)
(1186, 'Chandler', 0.017278218218793603)
(1191, 'Joey', 0.017278218218793603)
(1367, 'Rachel', 0.017278218218793603)
(1372, 'Rachel', 0.017278218218793603)
(1432, 'Joey', 0.017278218218793603)
(1433, 'Rachel', 0.017278218218793603)
(1438, 'Chandler', 0.017278218218793603)
(1443, 'Rachel', 0.017278218218793603)
(1477, 'Rachel', 0.017278218218793603)
(1649, 'Chandler', 0.017278218218793603)
(1715, 'Joey', 0.017278218218793603)
(1793, 'Rachel', 0.017278218218793603)
(1874, 'Chandler', 0.017278218218793603)
(2082, 'Rachel', 0.017278218218793603)
(2140, 'Chandler', 0.017278218218793603)
(2222, 'Rachel', 0.017278218218793603)
(2363, 'Chandler', 0.017278218218793603)
(2443, 'Joey', 0.017278218218793603)
(2448, 'Joey', 0.017278218218793603)
(2465, 'Joey', 0.017278218218793603)
(2475, 'Chandler', 0.017278218218793603)
(2486, 'Chandler', 0.017278218218793603)
(2510, 'Rachel', 0.017278218218793603)
(2553, 'Rachel', 0.017278218218793603)
(2663, 'Chandler', 0.017278218218793603)
(2797, 'Chandler', 0.017278218218793603)
(2836, 'Rachel', 0.017278218218793603)
(2838, 'Chandler', 0.017278218218793603)
(2912, 'Rachel', 0.017278218218793603)
(2925, 'Chandler', 0.017278218218793603)
(2997, 'Chandler', 0.017278218218793603)
(454, 'Chandler', 0.017444039312544794)
(110, 'Joey', 0.027871550349647181)
(768, 'Rachel', 0.027871550349647181)
(776, 'Joey', 0.027871550349647181)
(809, 'Chandler', 0.027871550349647181)
(1154, 'Joey', 0.027871550349647181)
(1193, 'Chandler', 0.027871550349647181)
(1288, 'Rachel', 0.027871550349647181)
(1849, 'Rachel', 0.027871550349647181)
(2067, 'Joey', 0.027871550349647181)
(2177, 'Joey', 0.027871550349647181)
(2660, 'Chandler', 0.027871550349647181)
(2992, 'Joey', 0.027871550349647181)
(477, 'Chandler', 0.034639346984462756)
(2113, 'Rachel', 0.03916576360282039)
(756, 'Chandler', 0.047209843545727957)
(1137, 'Joey', 0.047209843545727957)
(1709, 'Chandler', 0.047209843545727957)
(1851, 'Joey', 0.047209843545727957)
(2852, 'Rachel', 0.049508706878928263)
(2923, 'Chandler', 0.049508706878928263)
(52, 'Rachel', 0.057962367913856908)
(438, 'Chandler', 0.057962367913856908)
(2907, 'Joey', 0.057962367913856908)
(1766, 'Rachel', 0.069527425609552287)
(202, 'Joey', 0.073021318918087913)
(1263, 'Chandler', 0.073021318918087913)
(331, 'Joey', 0.073695115596155311)
(835, 'Chandler', 0.073695115596155311)
(939, 'Rachel', 0.073695115596155311)
(972, 'Joey', 0.073695115596155311)
(989, 'Rachel', 0.073695115596155311)
(1279, 'Joey', 0.073695115596155311)
(1535, 'Rachel', 0.073695115596155311)
(2213, 'Rachel', 0.073695115596155311)
(2346, 'Rachel', 0.073695115596155311)
(2745, 'Joey', 0.073695115596155311)
(13, 'Rachel', 0.095582660980182144)
(16, 'Rachel', 0.095582660980182144)
(20, 'Chandler', 0.095582660980182144)
(57, 'Rachel', 0.095582660980182144)
(58, 'Rachel', 0.095582660980182144)
(75, 'Joey', 0.095582660980182144)
(99, 'Rachel', 0.095582660980182144)
(107, 'Rachel', 0.095582660980182144)
(154, 'Rachel', 0.095582660980182144)
(195, 'Rachel', 0.095582660980182144)
(225, 'Chandler', 0.095582660980182144)
(228, 'Rachel', 0.095582660980182144)
(230, 'Chandler', 0.095582660980182144)
(247, 'Joey', 0.095582660980182144)
(264, 'Rachel', 0.095582660980182144)
(275, 'Joey', 0.095582660980182144)
(328, 'Rachel', 0.095582660980182144)
(344, 'Rachel', 0.095582660980182144)
(408, 'Rachel', 0.095582660980182144)
(414, 'Joey', 0.095582660980182144)
(473, 'Joey', 0.095582660980182144)
(479, 'Chandler', 0.095582660980182144)
(494, 'Rachel', 0.095582660980182144)
(533, 'Rachel', 0.095582660980182144)
(546, 'Joey', 0.095582660980182144)
(557, 'Joey', 0.095582660980182144)
(577, 'Chandler', 0.095582660980182144)
(598, 'Joey', 0.095582660980182144)
(613, 'Rachel', 0.095582660980182144)
(656, 'Joey', 0.095582660980182144)
(662, 'Joey', 0.095582660980182144)
(695, 'Joey', 0.095582660980182144)
(711, 'Chandler', 0.095582660980182144)
(723, 'Joey', 0.095582660980182144)
(745, 'Rachel', 0.095582660980182144)
(758, 'Joey', 0.095582660980182144)
(770, 'Chandler', 0.095582660980182144)
(772, 'Rachel', 0.095582660980182144)
(781, 'Joey', 0.095582660980182144)
(793, 'Chandler', 0.095582660980182144)
(840, 'Joey', 0.095582660980182144)
(863, 'Joey', 0.095582660980182144)
(877, 'Chandler', 0.095582660980182144)
(878, 'Rachel', 0.095582660980182144)
(887, 'Rachel', 0.095582660980182144)
