NN	NN	3.8494271685761046
DT	NN	3.775777414075286
JJ	NN	3.6333878887070377
PRP	$	2.641571194762684
IN	PRP	2.5286415711947625
TO	VB	2.286415711947627
NN	IN	2.1391162029459903
PRP	VBP	2.090016366612111
IN	DT	2.0474631751227497
VB	PRP	1.6955810147299508
NN	VBP	1.679214402618658
RB	JJ	1.5122749590834696
DT	JJ	1.4795417348608837
IN	NN	1.4648117839607202
RB	RB	1.453355155482815
NN	RB	1.4517184942716859
VBP	PRP	1.3797054009819967
$	NN	1.3567921440261865
NN	PRP	1.34860883797054
RB	VB	1.3224222585924714
PRP	VBD	1.2896890343698855
NN	VBD	1.2454991816693943
NN	CC	1.0343698854337153
VB	DT	1.0114566284779052
JJ	VBP	0.900163666121113
MD	VB	0.8707037643207856
PRP	VB	0.8379705400981997
VBD	PRP	0.8265139116202946
NNS	VBP	0.8134206219312602
VB	IN	0.7643207855973814
PRP	RB	0.7217675941080196
VBP	RB	0.6824877250409165
VBP	JJ	0.6775777414075287
RB	IN	0.6726677577741408
NN	VBZ	0.630114566284779
RB	PRP	0.602291325695581
VBP	NN	0.5924713584288053
VBP	DT	0.5924713584288053
JJ	JJ	0.5908346972176759
JJ	NNS	0.5793780687397708
PRP	IN	0.574468085106383
VBP	VBP	0.5695581014729951
IN	JJ	0.5482815057283142
PRP	VBZ	0.546644844517185
VBP	IN	0.5351882160392799
VBD	DT	0.5335515548281505
NN	TO	0.5237315875613748
VB	NN	0.5171849427168577
RB	VBP	0.513911620294599
CC	PRP	0.5040916530278232
VB	RB	0.502454991816694
VBD	RB	0.486088379705401
NN	JJ	0.4746317512274959
PRP	MD	0.46153846153846156
RB	VBD	0.45990180032733224
JJ	IN	0.45662847790507366
CC	NN	0.4533551554828151
NN	DT	0.4533551554828151
NNS	RB	0.4500818330605565
NN	NNS	0.4353518821603928
VB	TO	0.4337152209492635
$	JJ	0.4320785597381342
VBP	TO	0.43044189852700493
NN	MD	0.43044189852700493
DT	NNS	0.4238952536824877
CC	VB	0.4206219312602291
DT	VBZ	0.41898527004909986
VBG	IN	0.41734860883797054
VBZ	DT	0.41407528641571195
VBZ	RB	0.3895253682487725
RB	DT	0.38461538461538464
VBP	VB	0.3829787234042553
VB	JJ	0.3780687397708674
VBD	IN	0.37315875613747956
VBN	IN	0.36824877250409166
NNS	IN	0.36824877250409166
RB	VBN	0.3518821603927987
VBD	JJ	0.3518821603927987
VBG	TO	0.3404255319148936
VBZ	JJ	0.337152209492635
IN	IN	0.32733224222585927
JJ	RB	0.32242225859247137
RB	VBG	0.3158756137479542
VBZ	PRP	0.31260229132569556
IN	NNS	0.309328968903437
TO	PRP	0.3076923076923077
PRP	DT	0.3027823240589198
RB	VBZ	0.2995090016366612
CC	RB	0.2978723404255319
NN	VB	0.29623567921440264
PRP	CC	0.28805237315875615
DT	DT	0.27986906710310966
UH	NN	0.27986906710310966
PRP	JJ	0.27986906710310966
NN	VBG	0.27823240589198034
VBP	WP	0.2765957446808511
RB	NN	0.2733224222585925
VB	VB	0.2733224222585925
DT	RB	0.27168576104746317
VBG	PRP	0.2700490998363339
JJ	PRP	0.25859247135842883
PRP	PRP	0.2553191489361702
CC	JJ	0.25368248772504093
IN	RB	0.2520458265139116
VB	RP	0.25040916530278234
VBZ	IN	0.24877250409165302
NNS	CC	0.24713584288052373
$	RB	0.24549918166939444
VB	WP	0.24058919803600654
$	NNS	0.23567921440261866
VBD	VBG	0.23567921440261866
VBP	NNS	0.23404255319148937
MD	RB	0.23076923076923078
RB	CC	0.23076923076923078
NN	WDT	0.22749590834697217
WRB	NN	0.2225859247135843
VBD	TO	0.2225859247135843
WP	VBP	0.220949263502455
CD	NNS	0.2127659574468085
JJ	CC	0.2127659574468085
UH	PRP	0.21112929623567922
RP	IN	0.20621931260229132
DT	IN	0.20130932896890344
PRP	TO	0.20130932896890344
MD	PRP	0.18985270049099837
VBD	NN	0.18494271685761046
VBP	VBN	0.18494271685761046
WRB	PRP	0.18494271685761046
CC	DT	0.18330605564648117
VBN	TO	0.176759410801964
VBG	NN	0.1734860883797054
WP	VBZ	0.1718494271685761
JJ	VBD	0.1702127659574468
NN	WRB	0.1685761047463175
WP	PRP	0.16693944353518822
VBP	VBG	0.16530278232405893
VBG	DT	0.16366612111292964
PRP	VBG	0.16366612111292964
VBG	RB	0.15220949263502456
VB	VBP	0.14729950900163666
DT	PRP	0.14729950900163666
PDT	DT	0.14729950900163666
TO	DT	0.14566284779050737
VB	VBN	0.14566284779050737
IN	VBG	0.14402618657937807
NN	WP	0.14238952536824878
JJ	DT	0.14238952536824878
CD	NN	0.13911620294599017
CC	IN	0.13911620294599017
JJ	TO	0.13911620294599017
VBD	VBN	0.13747954173486088
VBZ	NN	0.13747954173486088
WP	NN	0.13584288052373159
VBZ	VBG	0.1342062193126023
VBD	RP	0.1342062193126023
VB	VBG	0.1342062193126023
WDT	VBZ	0.1309328968903437
RB	TO	0.12438625204582651
VBN	PRP	0.12274959083469722
JJ	VB	0.12274959083469722
PRP	NN	0.12111292962356793
PRP	RP	0.11947626841243862
IN	CD	0.11947626841243862
VB	WRB	0.11783960720130933
NNS	PRP	0.11620294599018004
CD	IN	0.11620294599018004
JJ	VBG	0.11456628477905073
DT	CD	0.11292962356792144
VBN	RB	0.11129296235679215
WP	VBD	0.11129296235679215
NNS	VBG	0.10474631751227496
WRB	JJ	0.10474631751227496
NNS	VBD	0.10474631751227496
RB	WRB	0.10310965630114566
CC	NNS	0.10147299509001637
NNS	NN	0.09983633387888707
