NN	27750.0
RB	12741.176470588234
PRP	12441.176470588234
IN	12255.882352941177
JJ	12208.823529411766
DT	11579.411764705883
VB	9644.117647058823
VBP	9635.29411764706
NNS	5617.64705882353
VBD	4926.470588235295
CC	4529.411764705883
PRP$	4320.588235294117
VBZ	3776.470588235294
TO	3764.7058823529414
VBG	2935.2941176470586
MD	2241.176470588235
VBN	1520.5882352941176
WP	1364.7058823529412
WRB	1191.1764705882354
CD	1135.2941176470588
RP	1064.7058823529412
UH	1000.0
WDT	447.05882352941177
JJR	282.3529411764706
EX	229.41176470588235
JJS	205.88235294117646
PDT	182.35294117647058
FW	176.47058823529412
RBR	91.17647058823529
RBS	38.23529411764706
NNP	5.88235294117647
WP$	5.88235294117647
POS	2.941176470588235
$	2.941176470588235
