 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Apostrophe,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Quote Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
8,4,4,8,0.0,1,0.0,1,0.0,4,0.0,0.0,0.0,3,2,7,3,2,0.0,41,2,0.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,4,3,0.0,3,0.0,0.0,5,0.0,1,3,0.0,1,0.0,0.0,2,0.0,0.0,4,0.0,4,9,1,0.0,2,0.0,1,0.0,13,28,38,9.5,0.0,0.0,2,0.0,7,1,2,1,4,0.0,1,6,26,1,3,0.0,0.0,0.0,0.0,3,1,0.0
0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,2,2,1,0.0,0.0,0.0,3,2,0.0,0.0,9,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,9,9,9.0,0.0,0.0,1,0.0,3,0.0,2,0.0,0.0,0.0,0.0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,1,10,0.0,0.0,1,7,0.0,9,0.0,0.0,2,0.0,3,21,2,1,0.0,51,2,0.0,0.0,6,3,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,5,0.0,6,5,1,0.0,3,0.0,4,0.0,0.0,2,0.0,0.0,6,0.0,3,7,3,0.0,2,0.0,0.0,1,10,40,52,8.666666666666666,0.0,0.0,1,1,7,0.0,1,2,1,0.0,1,13,33,3,2,0.0,0.0,0.0,0.0,5,1,0.0
0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,3,0.0,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,0.0,2,2,1,0.0,3,0.0,0.0,0.0,3,15,15,15.0,0.0,0.0,2,1,7,2,1,2,0.0,0.0,0.0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0
1,4,1,6,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,4,4,1,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,4,1,0.0,0.0,0.0,4,0.0,0.0,3,0.0,0.0,2,0.0,1,3,4,0.0,3,0.0,0.0,1,5,18,21,10.5,1,0.0,1,0.0,7,0.0,2,1,0.0,0.0,2,2,15,2,0.0,0.0,0.0,1,1,2,0.0,0.0
0.0,1,3,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,3,0.0,0.0,0.0,18,0.0,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3,0.0,0.0,5,0.0,0.0,4,0.0,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,4,3,0.0,3,0.0,0.0,0.0,2,4,13,15,7.5,0.0,0.0,1,1,5,1,0.0,1,0.0,0.0,2,0.0,7,4,0.0,1,0.0,1,0.0,0.0,0.0,0.0
1,2,5,7,0.0,3,0.0,1,1,6,0.0,0.0,1,0.0,1,11,3,2,0.0,37,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,1,3,0.0,0.0,1,0.0,1,5,2,1,3,0.0,2,0.0,0.0,3,0.0,0.0,4,0.0,3,5,1,0.0,6,0.0,0.0,1,6,31,35,8.75,0.0,1,0.0,0.0,13,0.0,3,4,0.0,1,1,8,22,2,0.0,0.0,0.0,1,3,3,0.0,0.0
6,1,4,6,0.0,0.0,0.0,2,1,4,0.0,0.0,1,0.0,2,5,2,2,0.0,24,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,3,0.0,0.0,0.0,4,0.0,0.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,8,14,21,21.0,0.0,0.0,0.0,2,3,1,2,2,0.0,0.0,1,4,17,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0
4,1,3,6,1,0.0,0.0,1,0.0,4,0.0,0.0,0.0,0.0,3,5,0.0,2,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,0.0,1,0.0,1,0.0,5,14,16,16.0,0.0,0.0,1,0.0,1,0.0,0.0,2,1,0.0,0.0,5,10,1,0.0,0.0,1,1,0.0,0.0,2,0.0
2,0.0,1,6,0.0,0.0,1,0.0,1,2,0.0,0.0,0.0,0.0,2,4,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,1,1,0.0,2,0.0,1,0.0,0.0,0.0,1,0.0,3,0.0,2,2,1,0.0,1,1,0.0,0.0,3,17,17,5.666666666666667,0.0,0.0,0.0,0.0,1,1,0.0,1,0.0,0.0,0.0,3,6,2,0.0,0.0,1,0.0,0.0,1,1,0.0
