 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Colon,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
0.0,0.0,0.0,2,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1,0.0,0.0,0.0,10,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3,1,0.0,0.0,0.0,0.0,1,0.0,1,11,11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,4,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
0.0,0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,1,0.0,2,0.0,0.0,1,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,2,0.0,2,1,0.0,0.0,0.0,0.0,0.0,4,1,11,12,6.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,1,0.0,1,4,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0
0.0,1,0.0,2,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.0,1,2,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,2,0.0,2,1,2,0.0,0.0,0.0,0.0,0.0,2,9,14,7.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,3,0.0,1,3,1,0.0,0.0,0.0,0.0,0.0,1,8,10,3.3333333333333335,0.0,0.0,1,3,1,1,1,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
0.0,1,0.0,3,0.0,0.0,3,0.0,1,5,2,0.0,0.0,0.0,2,3,1,0.0,0.0,28,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,3,4,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,7,1,1,0.0,1,0.0,0.0,0.0,3,23,27,27.0,0.0,0.0,0.0,0.0,8,0.0,2,3,0.0,1,0.0,2,14,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0
4,5,4,8,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,1,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,4,3,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,5,0.0,3,0.0,5,0.0,0.0,0.0,4,26,37,18.5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,0.0,0.0,0.0,1,0.0,3,0.0,0.0
1,0.0,2,2,0.0,0.0,3,0.0,1,3,0.0,0.0,1,0.0,1,2,1,0.0,0.0,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,2,1,0.0,4,1,0.0,2,0.0,0.0,1,0.0,3,3,4,0.0,3,0.0,0.0,0.0,3,25,30,30.0,0.0,0.0,2,0.0,6,0.0,1,0.0,0.0,0.0,0.0,3,14,0.0,0.0,1,0.0,0.0,0.0,6,0.0,0.0
2,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,4,0.0,0.0,0.0,1,0.0,2,0.0,2,1,3,0.0,0.0,0.0,0.0,0.0,3,15,17,8.5,0.0,0.0,1,0.0,1,0.0,1,1,0.0,0.0,1,2,6,1,1,0.0,0.0,1,1,2,0.0,0.0
1,0.0,0.0,2,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2,0.0,0.0,1,0.0,0.0,2,8,8,8.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
4,8,6,9,0.0,0.0,8,0.0,3,2,2,8,1,0.0,6,9,7,0.0,0.0,81,1,0.0,0.0,1,0.0,0.0,4,0.0,0.0,0.0,3,0.0,1,3,0.0,1,3,3,0.0,0.0,3,0.0,1,4,3,0.0,0.0,21,0.0,3,0.0,0.0,0.0,3,0.0,11,3,13,0.0,0.0,0.0,0.0,7,8,59,80,26.666666666666668,0.0,2,5,3,15,2,4,5,0.0,0.0,2,5,45,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0
