 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Colon,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
4,1,0.0,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,4,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1,4,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,2,0.0,2,3,0.0,0.0,3,0.0,0.0,0.0,8,14,15,7.5,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,2,2,11,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0
1,0.0,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,4,1,0.0,0.0,16,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,2,4,0.0,0.0,0.0,5,0.0,0.0,1,1,0.0,1,0.0,2,4,1,0.0,2,0.0,2,3,5,14,14,14.0,0.0,0.0,1,0.0,3,0.0,1,0.0,0.0,4,0.0,3,8,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0
0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,15,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,1,2,0.0,0.0,2,0.0,0.0,1,0.0,2,4,1,0.0,0.0,0.0,0.0,0.0,3,13,14,14.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,4,8,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0
0.0,1,0.0,5,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,2,2,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,1,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,3,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1,1,12,12,4.0,0.0,0.0,1,1,1,0.0,0.0,1,0.0,0.0,0.0,2,5,2,0.0,0.0,0.0,1,0.0,1,0.0,0.0
0.0,0.0,1,3,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,2,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,2,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,0.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,2,10,13,6.5,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,3,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,10,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1,2,0.0,0.0,0.0,1,0.0,0.0,2,0.0,2,3,0.0,0.0,1,0.0,1,0.0,5,11,11,5.5,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,1,3,0.0,0.0,2,1,3,0.0,0.0,1,0.0,0.0,1,4,2,0.0,0.0,12,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,1,1,0.0,0.0,2,0.0,0.0,1,1,0.0,2,0.0,5,1,1,0.0,0.0,0.0,0.0,1,1,18,22,11.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,3,0.0,9,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0
1,2,0.0,7,0.0,0.0,2,1,0.0,9,6,0.0,1,0.0,3,4,1,2,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,1,2,0.0,1,0.0,7,0.0,0.0,1,1,0.0,2,0.0,6,1,3,0.0,0.0,0.0,0.0,4,3,27,28,14.0,1,1,1,0.0,2,0.0,1,3,0.0,0.0,0.0,2,9,2,1,0.0,0.0,1,2,2,0.0,0.0
0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1,1,9,10,5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,1,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,2,1,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,1,9,10,5.0,2,1,0.0,0.0,2,0.0,0.0,1,0.0,1,0.0,1,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
