NN	30145.454545454544
IN	13881.818181818182
PRP	13742.424242424244
DT	13503.030303030304
RB	13018.181818181818
JJ	12660.60606060606
VB	10793.939393939394
VBP	10203.030303030304
VBD	6218.181818181818
NNS	6096.969696969697
TO	4433.333333333334
CC	4272.727272727273
PRP$	4184.848484848485
VBZ	3978.787878787879
VBG	3621.212121212121
MD	2209.090909090909
VBN	2142.4242424242425
WRB	1503.030303030303
RP	1454.5454545454545
WP	1403.030303030303
CD	1269.6969696969697
UH	709.0909090909091
WDT	400.0
JJR	330.3030303030303
EX	275.75757575757575
JJS	275.75757575757575
PDT	206.06060606060606
RBR	175.75757575757575
FW	93.93939393939394
RBS	54.54545454545454
WP$	15.151515151515152
NNP	9.090909090909092
''	3.0303030303030303
