 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Apostrophe,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Quote Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
0.0,0.0,1,4,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,2,6,0.0,0.0,0.0,12,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,2,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,4,10,12,6.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,6,8,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
8,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,6,4,3,0.0,0.0,0.0,13,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,2,7,1,0.0,0.0,0.0,0.0,0.0,8,7,11,5.5,0.0,0.0,0.0,1,6,0.0,0.0,1,0.0,0.0,0.0,3,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
2,3,1,3,0.0,0.0,0.0,1,0.0,2,0.0,0.0,1,0.0,1,4,1,0.0,0.0,22,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,1,0.0,3,0.0,0.0,1,0.0,0.0,2,0.0,3,5,1,0.0,0.0,0.0,1,1,5,16,17,8.5,0.0,0.0,0.0,3,1,0.0,0.0,4,0.0,1,1,3,15,0.0,1,4,0.0,0.0,0.0,5,1,0.0
3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,1,0.0,0.0,2,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,4,8,9,9.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,7,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0
0.0,2,0.0,2,0.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,1,3,1,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,9,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,5,2,0.0,0.0,1,1,0.0,0.0,0.0,0.0
1,1,0.0,4,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,1,5,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,4,0.0,1,2,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3,10,11,5.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,3,6,3,1,0.0,1,0.0,0.0,0.0,0.0,0.0
0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,2,1,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,6,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,11,11.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,5,2,0.0,0.0,0.0,2,2,0.0,0.0,0.0
1,5,0.0,3,0.0,0.0,0.0,0.0,0.0,2,1,1,1,0.0,0.0,3,1,0.0,0.0,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,1,0.0,4,0.0,0.0,1,0.0,0.0,2,0.0,1,1,3,0.0,3,0.0,0.0,1,2,14,14,7.0,0.0,0.0,0.0,0.0,6,0.0,1,0.0,0.0,0.0,0.0,3,11,1,2,0.0,0.0,1,0.0,1,0.0,0.0
0.0,1,1,1,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,8,8,8.0,0.0,0.0,1,0.0,1,0.0,1,1,0.0,0.0,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
2,1,0.0,4,0.0,0.0,0.0,0.0,1,2,0.0,0.0,1,1,2,3,1,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,1,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4,10,11,5.5,1,0.0,0.0,2,2,0.0,0.0,2,0.0,0.0,0.0,3,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4,0.0,0.0,1,1,0.0,0.0,0.0,0.0,3,0.0,2,3,1,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,0.0,1,0.0,3,1,0.0,0.0,0.0,0.0,0.0,2,1,12,13,13.0,3,0.0,0.0,0.0,4,0.0,1,0.0,0.0,0.0,1,2,5,1,0.0,0.0,0.0,1,0.0,3,0.0,0.0
0.0,2,2,4,0.0,0.0,0.0,0.0,1,2,1,1,1,0.0,0.0,2,2,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,3,2,0.0,3,0.0,2,0.0,0.0,2,0.0,0.0,4,0.0,1,3,0.0,0.0,0.0,0.0,0.0,2,3,15,16,4.0,0.0,0.0,0.0,0.0,2,0.0,1,1,0.0,0.0,1,3,9,1,1,0.0,0.0,0.0,0.0,1,0.0,1
0.0,3,0.0,4,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,4,3,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,4,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,2,3,0.0,0.0,0.0,0.0,1,0.0,4,11,13,13.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,3,9,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,2,5,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,1,1,9,3,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4,1,0.0,0.0,0.0,4,0.0,0.0,3,2,1,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,2,0.0,1,0.0,1,1,3,21,30,7.5,2,2,0.0,0.0,5,0.0,3,6,0.0,2,0.0,9,16,3,0.0,1,1,0.0,2,6,2,0.0
0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3,6,9,9.0,0.0,0.0,1,0.0,3,1,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
7,4,0.0,4,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,4,0.0,1,2,0.0,0.0,0.0,14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,3,0.0,0.0,6,0.0,0.0,0.0,7,7,10,5.0,0.0,0.0,0.0,0.0,11,1,0.0,0.0,0.0,0.0,0.0,1,14,0.0,4,0.0,0.0,0.0,0.0,1,0.0,0.0
3,1,7,2,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,4,1,0.0,0.0,25,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,1,2,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,2,0.0,0.0,2,0.0,0.0,0.0,5,21,23,11.5,0.0,0.0,1,0.0,5,1,0.0,3,0.0,0.0,0.0,5,14,0.0,0.0,1,0.0,0.0,0.0,3,0.0,3
0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,1,0.0,0.0,0.0,11,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,3,0.0,1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,1,0.0,1,6,1,0.0,0.0,0.0,0.0,0.0,3,9,10,10.0,0.0,0.0,0.0,3,1,0.0,1,3,0.0,0.0,0.0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
2,0.0,5,3,1,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,12,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,1,4,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,1,5,1,1,0.0,0.0,0.0,0.0,3,10,11,3.6666666666666665,0.0,0.0,0.0,4,0.0,0.0,0.0,4,0.0,1,0.0,2,5,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0
4,3,1,6,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,1,3,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,5,0.0,1,2,1,0.0,0.0,0.0,3,0.0,0.0,2,1,0.0,5,0.0,3,4,2,0.0,0.0,0.0,0.0,1,6,15,17,3.4,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,2,9,2,1,1,0.0,1,0.0,0.0,0.0,0.0
2,0.0,4,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2,4,2,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,1,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,2,4,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,3,5,0.0,0.0,1,0.0,0.0,0.0,4,15,17,17.0,0.0,0.0,2,4,2,2,0.0,5,0.0,0.0,0.0,4,11,0.0,1,3,0.0,0.0,1,4,0.0,0.0
0.0,2,1,3,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2,5,0.0,0.0,0.0,18,1,0.0,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,1,4,0.0,2,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,2,6,0.0,0.0,1,2,0.0,1,4,17,17,17.0,0.0,0.0,3,0.0,3,2,1,0.0,0.0,1,1,5,10,1,0.0,3,0.0,0.0,0.0,1,0.0,0.0
1,1,2,5,0.0,0.0,0.0,1,0.0,7,0.0,0.0,1,0.0,2,7,3,0.0,0.0,27,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,3,0.0,0.0,4,0.0,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,3,0.0,5,6,2,0.0,2,1,1,2,5,27,28,9.333333333333334,0.0,0.0,6,3,3,3,0.0,5,0.0,0.0,3,5,17,0.0,0.0,2,0.0,0.0,1,3,0.0,1
