NN	36066.66666666667
RB	17439.39393939394
PRP	17009.090909090908
JJ	15724.242424242424
IN	15651.51515151515
DT	14442.424242424244
VBP	13693.939393939394
VB	13606.060606060606
VBD	7318.181818181819
NNS	6127.272727272727
TO	5381.818181818182
CC	5081.818181818182
PRP$	4890.909090909091
VBZ	4721.212121212121
VBG	3690.9090909090905
MD	2493.939393939394
WP	2345.4545454545455
VBN	2345.4545454545455
WRB	1648.4848484848485
RP	1530.3030303030303
UH	1442.4242424242425
CD	1193.939393939394
WDT	703.030303030303
JJR	381.8181818181818
EX	345.45454545454544
PDT	275.75757575757575
JJS	221.2121212121212
RBR	127.27272727272727
FW	39.39393939393939
RBS	39.39393939393939
NNP	12.121212121212121
WP$	3.0303030303030303
$	3.0303030303030303
