PDT	31.8809335869	[218.75, 182.35294117647058, 179.41176470588235, 206.06060606060606, 208.57142857142858, 275.75757575757575]
FW	48.7224093835	[25.0, 176.47058823529412, 79.41176470588235, 93.93939393939394, 71.42857142857143, 39.39393939393939]
RP	158.744638828	[1331.25, 1064.7058823529412, 1388.235294117647, 1454.5454545454545, 1525.7142857142858, 1530.3030303030303]
UH	263.026834074	[743.75, 1000.0, 873.5294117647059, 709.0909090909091, 677.1428571428571, 1442.4242424242425]
WRB	195.801162491	[1478.125, 1191.1764705882354, 1835.2941176470588, 1503.030303030303, 1457.142857142857, 1648.4848484848485]
VBD	734.31615941	[5831.25, 4926.470588235295, 6635.2941176470595, 6218.181818181818, 5971.428571428572, 7318.181818181819]
WP$	4.52397458644	[5.88235294117647, 2.941176470588235, 15.151515151515152, 8.571428571428571, 3.0303030303030303]
JJ	1309.93328004	[12625.0, 12208.823529411766, 15008.823529411766, 12660.60606060606, 13425.714285714286, 15724.242424242424]
$	0.0707025360257	[2.941176470588235, 2.857142857142857, 3.0303030303030303]
VB	1205.84002861	[11250.0, 9644.117647058823, 11961.764705882353, 10793.939393939394, 11137.142857142857, 13606.060606060606]
NNPS	0.0420168067227	[2.941176470588235, 2.857142857142857]
''	1.56782416346	[6.25, 5.88235294117647, 3.0303030303030303, 2.857142857142857]
JJR	32.5318367957	[321.875, 282.3529411764706, 347.05882352941177, 330.3030303030303, 368.57142857142856, 381.8181818181818]
PRP$	288.500399616	[4268.75, 4320.588235294117, 4788.235294117647, 4184.848484848485, 4182.857142857143, 4890.909090909091]
MD	147.510104203	[2190.625, 2241.176470588235, 2320.5882352941176, 2209.090909090909, 2002.857142857143, 2493.939393939394]
NN	2896.24186773	[30087.5, 27750.0, 34952.94117647059, 30145.454545454544, 32165.714285714283, 36066.66666666667]
IN	1041.54592958	[13565.625, 12255.882352941177, 14732.35294117647, 13881.818181818182, 13968.571428571428, 15651.51515151515]
VBN	277.391763345	[1912.5, 1520.5882352941176, 2297.0588235294117, 2142.4242424242425, 1960.0000000000002, 2345.4545454545455]
CC	328.156965586	[4021.875, 4529.411764705883, 4620.588235294117, 4272.727272727273, 4625.714285714286, 5081.818181818182]
POS	0.0	[2.941176470588235]
NNP	5.09189710201	[6.25, 5.88235294117647, 20.588235294117645, 9.090909090909092, 14.285714285714285, 12.121212121212121]
VBZ	376.734513152	[4065.625, 3776.470588235294, 4682.35294117647, 3978.787878787879, 3879.9999999999995, 4721.212121212121]
NNS	288.003559085	[5971.875, 5617.64705882353, 6500.0, 6096.969696969697, 6400.0, 6127.272727272727]
RBS	12.2422403308	[31.25, 38.23529411764706, 50.0, 54.54545454545454, 17.142857142857142, 39.39393939393939]
VBP	1381.91593235	[10865.625, 9635.29411764706, 12538.235294117647, 10203.030303030304, 11100.0, 13693.939393939394]
TO	488.838216831	[4650.0, 3764.7058823529414, 4829.411764705883, 4433.333333333334, 4385.714285714285, 5381.818181818182]
VBG	283.261845918	[3412.5, 2935.2941176470586, 3588.2352941176473, 3621.212121212121, 3088.5714285714284, 3690.9090909090905]
JJS	26.0348448168	[246.875, 205.88235294117646, 258.8235294117647, 275.75757575757575, 274.2857142857143, 221.2121212121212]
DT	1048.97922801	[12650.0, 11579.411764705883, 14511.764705882353, 13503.030303030304, 14040.0, 14442.424242424244]
CD	102.051019316	[1465.625, 1135.2941176470588, 1273.5294117647059, 1269.6969696969697, 1248.5714285714287, 1193.939393939394]
RBR	33.4133126736	[103.125, 91.17647058823529, 158.8235294117647, 175.75757575757575, 174.28571428571428, 127.27272727272727]
RB	1755.56632306	[12471.875, 12741.176470588234, 14738.235294117647, 13018.181818181818, 12848.57142857143, 17439.39393939394]
PRP	1467.96407788	[14656.25, 12441.176470588234, 14882.35294117647, 13742.424242424244, 13134.285714285716, 17009.090909090908]
WP	359.937086645	[1525.0, 1364.7058823529412, 2041.1764705882351, 1403.030303030303, 1582.857142857143, 2345.4545454545455]
EX	57.3945546054	[278.125, 229.41176470588235, 367.6470588235294, 275.75757575757575, 391.4285714285714, 345.45454545454544]
WDT	101.60818011	[450.0, 447.05882352941177, 502.94117647058823, 400.0, 420.0, 703.030303030303]
