NN	32165.714285714283
DT	14040.0
IN	13968.571428571428
JJ	13425.714285714286
PRP	13134.285714285716
RB	12848.57142857143
VB	11137.142857142857
VBP	11100.0
NNS	6400.0
VBD	5971.428571428572
CC	4625.714285714286
TO	4385.714285714285
PRP$	4182.857142857143
VBZ	3879.9999999999995
VBG	3088.5714285714284
MD	2002.857142857143
VBN	1960.0000000000002
WP	1582.857142857143
RP	1525.7142857142858
WRB	1457.142857142857
CD	1248.5714285714287
UH	677.1428571428571
WDT	420.0
EX	391.4285714285714
JJR	368.57142857142856
JJS	274.2857142857143
PDT	208.57142857142858
RBR	174.28571428571428
FW	71.42857142857143
RBS	17.142857142857142
NNP	14.285714285714285
WP$	8.571428571428571
NNPS	2.857142857142857
$	2.857142857142857
''	2.857142857142857
