 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Apostrophe,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Quote Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
1,2,1,3,0.0,0.0,1,1,0.0,2,0.0,0.0,0.0,0.0,1,4,2,0.0,0.0,16,1,1,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,1,3,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,1,1,4,17,17,8.5,0.0,0.0,0.0,1,2,0.0,1,2,0.0,0.0,2,1,12,1,0.0,1,0.0,1,0.0,1,1,0.0
1,1,2,8,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,6,5,2,0.0,0.0,21,1,0.0,0.0,0.0,3,1,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,3,2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,0.0,1,4,0.0,0.0,2,0.0,0.0,1,4,14,17,17.0,0.0,0.0,0.0,1,6,0.0,3,1,0.0,0.0,1,4,9,6,0.0,0.0,2,1,0.0,0.0,0.0,0.0
2,1,0.0,6,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,1,5,0.0,4,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,11,11.0,2,1,0.0,0.0,1,0.0,1,1,0.0,0.0,1,4,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,7,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,1,4,6,1,2,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,7,1,0.0,0.0,0.0,6,0.0,0.0,1,0.0,0.0,2,0.0,4,5,2,0.0,0.0,3,0.0,3,9,18,19,9.5,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,1,0.0,5,16,1,0.0,0.0,0.0,0.0,1,4,0.0,0.0
0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,4,0.0,1,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,4,0.0,1,0.0,0.0,0.0,0.0,0.0,1,9,9,9.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
0.0,2,0.0,3,0.0,0.0,0.0,0.0,1,1,0.0,0.0,3,0.0,2,2,1,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,1,0.0,1,2,13,13,13.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0.0,3,9,1,0.0,0.0,0.0,0.0,1,3,0.0,0.0
4,0.0,1,4,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3,5,1,0.0,0.0,16,2,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,7,13,16,16.0,1,1,0.0,0.0,4,1,3,2,0.0,0.0,2,2,13,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0
1,2,5,27,0.0,0.0,2,1,3,3,1,1,0.0,1,8,9,4,12,0.0,49,1,0.0,0.0,0.0,0.0,1,11,0.0,0.0,2,0.0,0.0,1,0.0,1,1,11,0.0,0.0,0.0,8,0.0,2,13,5,1,1,0.0,1,0.0,0.0,1,0.0,0.0,6,0.0,1,4,0.0,0.0,1,0.0,0.0,0.0,14,29,51,8.5,0.0,0.0,2,1,15,0.0,13,3,0.0,0.0,3,5,36,3,1,0.0,0.0,0.0,0.0,2,2,0.0
3,2,3,5,0.0,0.0,0.0,0.0,1,5,0.0,0.0,0.0,1,0.0,5,0.0,2,0.0,18,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,3,0.0,0.0,2,3,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,5,15,18,6.0,0.0,1,1,0.0,2,1,0.0,1,0.0,0.0,0.0,2,12,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
0.0,1,1,4,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,3,1,0.0,0.0,12,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,1,2,0.0,0.0,0.0,0.0,0.0,1,3,12,12,6.0,0.0,0.0,0.0,0.0,2,0.0,1,1,0.0,0.0,2,2,7,1,0.0,0.0,0.0,1,0.0,1,1,0.0
