NN	34952.94117647059
JJ	15008.823529411766
PRP	14882.35294117647
RB	14738.235294117647
IN	14732.35294117647
DT	14511.764705882353
VBP	12538.235294117647
VB	11961.764705882353
VBD	6635.2941176470595
NNS	6500.0
TO	4829.411764705883
PRP$	4788.235294117647
VBZ	4682.35294117647
CC	4620.588235294117
VBG	3588.2352941176473
MD	2320.5882352941176
VBN	2297.0588235294117
WP	2041.1764705882351
WRB	1835.2941176470588
RP	1388.235294117647
CD	1273.5294117647059
UH	873.5294117647059
WDT	502.94117647058823
EX	367.6470588235294
JJR	347.05882352941177
JJS	258.8235294117647
PDT	179.41176470588235
RBR	158.8235294117647
FW	79.41176470588235
RBS	50.0
NNP	20.588235294117645
''	5.88235294117647
WP$	2.941176470588235
NNPS	2.941176470588235
