Ross-Joey	0.498958338916	0.4703380716611442
Phoebe-Ross	0.586926179809	0.41493127572163674
Monica-Joey	0.602770870653	0.41825660747453564
Phoebe-Joey	0.604559149799	0.3859662272020033
Phoebe-Chandler	0.614299498407	0.47302182061046033
Joey-Rachel	0.618309949667	0.37472137976014286
Chandler-Joey	0.638270968293	0.4643209036366236
Phoebe-Rachel	0.652401501608	0.34048097586320547
Ross-Rachel	0.665661256198	0.3716777233270201
Monica-Rachel	0.666072788479	0.37046446955287726
Monica-Phoebe	0.703869335323	0.35250202736928865
Monica-Chandler	0.733757836566	0.4079755871638866
Ross-Chandler	0.760334554359	0.3888013624767365
Monica-Ross	0.796664914047	0.31015259979638815
Chandler-Rachel	0.809344668094	0.35951139648798897
