gon	na	1.1918951132300357
it	.	0.5385600141261643
you	.	0.4591003399108286
.	mean	0.43261378183905
.	okay	0.42819935549375354
.	im	0.42378492914845717
me	.	0.4017127974219751
dont	know	0.3972983710766786
im	gon	0.38846951838608573
im	sorry	0.3663973866596036
okay	.	0.36198296031430716
.	uh	0.3575685339690107
wan	na	0.30900984417075006
no	.	0.30018099148015714
.	oh	0.2825232860989714
.	dont	0.27810885975367505
here	.	0.25603672802719285
yeah	.	0.23396459630071073
that	.	0.23396459630071073
oh	god	0.2295501699554143
.	yeah	0.2295501699554143
this	.	0.22072131726482142
.	yknow	0.21189246457422858
.	know	0.21189246457422858
her	.	0.20306361188363573
know	.	0.19423475919304287
right	.	0.19423475919304287
got	ta	0.18982033284774644
now	.	0.18540590650245
dont	think	0.18099148015715358
dont	want	0.18099148015715358
mr	.	0.18099148015715358
okay	okay	0.18099148015715358
hey	hey	0.17657705381185715
.	hey	0.17657705381185715
cant	believe	0.17657705381185715
.	well	0.16333377477596786
im	im	0.15450492208537503
na	go	0.15009049574007857
go	.	0.15009049574007857
.	.	0.15009049574007857
great	.	0.14567606939478214
there	.	0.14567606939478214
out	.	0.1412616430494857
.	thats	0.1412616430494857
.	right	0.13684721670418928
fine	.	0.13684721670418928
youre	gon	0.13684721670418928
.	look	0.13684721670418928
thats	right	0.13684721670418928
dr	.	0.13684721670418928
oh	oh	0.13243279035889285
do	.	0.12801836401359643
on	.	0.12801836401359643
.	mr	0.12360393766830001
yeah	yeah	0.12360393766830001
sorry	.	0.12360393766830001
time	.	0.12360393766830001
oh	yeah	0.11918951132300357
mrs	.	0.11918951132300357
thing	.	0.11918951132300357
.	ok	0.11918951132300357
dont	dont	0.11477508497770715
.	come	0.11477508497770715
whoa	whoa	0.11036065863241071
him	.	0.11036065863241071
well	im	0.11036065863241071
.	see	0.10594623228711429
uh	...	0.10594623228711429
...	.	0.10153180594181786
.	cant	0.10153180594181786
wait	minute	0.10153180594181786
up	.	0.10153180594181786
ive	got	0.09711737959652143
.	think	0.09711737959652143
right	now	0.09711737959652143
us	.	0.09711737959652143
okay	im	0.09711737959652143
back	.	0.09711737959652143
